,Symbol,Name,LastSale,Sector
215,ANET,"Arista Networks, Inc.",230.95,Technology
216,AI,Arlington Asset Investment Corp,6.18,Consumer Services
219,AIC,Arlington Asset Investment Corp,24.41,Consumer Services
220,AIW,Arlington Asset Investment Corp,24.3,Consumer Services
221,ARLO,"Arlo Technologies, Inc.",3.91,Consumer Non-Durables
222,AHH,"Armada Hoffler Properties, Inc.",16.65,Finance
224,ARR,"ARMOUR Residential REIT, Inc.",17.42,Consumer Services
226,AFI,"Armstrong Flooring, Inc.",7.27,Consumer Non-Durables
227,AWI,Armstrong World Industries Inc,95.42,Consumer Non-Durables
228,ARW,"Arrow Electronics, Inc.",68.86,Technology
229,AJG,Arthur J. Gallagher & Co.,86.45,Finance
230,APAM,Artisan Partners Asset Management Inc.,27.19,Finance
232,ABG,Asbury Automotive Group Inc,91.17,Consumer Durables
233,ASX,"ASE Technology Holding Co., Ltd.",4.25,Technology
234,ASGN,ASGN Incorporated,59.21,Technology
235,AHT,Ashford Hospitality Trust Inc,2.75,Consumer Services
241,ASH,Ashland Global Holdings Inc.,74.87,Consumer Durables
242,ASPN,"Aspen Aerogels, Inc.",6.2,Consumer Services
245,AMK,"AssetMark Financial Holdings, Inc.",27.08,Finance
246,ASB,Associated Banc-Corp,20.09,Finance
250,AC,"Associated Capital Group, Inc.",35.77,Finance
251,AIZ,"Assurant, Inc.",108.14,Finance
252,AIZP,"Assurant, Inc.",113.7534,Finance
253,AGO,Assured Guaranty Ltd.,41.91,Finance
257,AZN,Astrazeneca PLC,43.56,Health Care
258,HOME,At Home Group Inc.,5.27,Consumer Services
259,T,AT&T Inc.,33.49,Public Utilities
260,TBB,AT&T Inc.,26.37,Public Utilities
261,TBC,AT&T Inc.,26.66,Public Utilities
262,ATTO,Atento S.A.,2.32,Public Utilities
263,ATH,Athene Holding Ltd.,38.93,Finance
265,ATKR,Atkore International Group Inc.,26.23,Miscellaneous
266,AT,Atlantic Power Corporation,2.3,Energy
267,ATO,Atmos Energy Corporation,106.94,Public Utilities
268,AUO,AU Optronics Corp,2.43,Technology
269,ACB,Aurora Cannabis Inc.,6.19,Consumer Durables
270,ATHM,Autohome Inc.,78.97,Technology
271,ALV,"Autoliv, Inc.",67.5,Capital Goods
272,AN,"AutoNation, Inc.",47.53,Consumer Durables
273,AZO,"AutoZone, Inc.",1062.92,Consumer Services
274,AVLR,"Avalara, Inc.",77.5,Technology
275,AVB,"AvalonBay Communities, Inc.",200.62,Consumer Services
276,AGR,"Avangrid, Inc.",49.22,Public Utilities
277,AVNS,"Avanos Medical, Inc.",37.92,Health Care
278,AVTR,"Avantor, Inc.",16.01,Capital Goods
280,AVYA,Avaya Holdings Corp.,10.59,Public Utilities
281,AVY,Avery Dennison Corporation,108.34,Consumer Durables
282,AVH,Avianca Holdings S.A.,3.88,Transportation
283,AVA,Avista Corporation,45.18,Public Utilities
284,AVP,"Avon Products, Inc.",4.28,Consumer Non-Durables
285,AVX,AVX Corporation,14.52,Capital Goods
286,EQH,"AXA Equitable Holdings, Inc.",19.83,Finance
287,AXTA,Axalta Coating Systems Ltd.,28.22,Basic Industries
288,AXS,Axis Capital Holdings Limited,62.33,Finance
291,AX,"Axos Financial, Inc.",25.64,Finance
