Symbol,Name,Last_Sale,Start_of_Year_Sale,YTD_Change_Percent,Sector
PDS,Precision Drilling Corporation,1.47,1.74,-18.367346938775512,Energy
PE,"Parsley Energy, Inc.",14.16,15.98,-12.85310734463277,Energy
PEB,Pebblebrook Hotel Trust,26.24,27.963,-6.566310975609767,Consumer Services
PEG,Public Service Enterprise Group Incorporated,55.63,51.2347,7.900952723350721,Public Utilities
PEI,Pennsylvania Real Estate Investment Trust,5.52,5.5652,-0.8188405797101515,Consumer Services
PEN,"Penumbra, Inc.",157.84,122.2,22.57982767359351,Health Care
PER,SandRidge Permian Trust,1.84,1.7599,4.35326086956522,Energy
PES,Pioneer Energy Services Corp.,0.183,1.23,-572.1311475409836,Energy
PFE,"Pfizer, Inc.",36.96,42.8917,-16.04897186147186,Health Care
PFGC,Performance Food Group Company,42.21,32.27,23.54892205638474,Consumer Non-Durables
PFH,CABCO Series 2004-101 Trust,6.92,7.11,-2.7456647398843987,Finance
PFS,"Provident Financial Services, Inc",23.44,23.543,-0.4394197952218344,Finance
PFSI,"PennyMac Financial Services, Inc.",25.37,21.26,16.200236499802916,Finance
PG,Procter & Gamble Company (The),113.08,90.5593,19.915723381676695,Basic Industries
PGR,Progressive Corporation (The),77.34,57.9965,25.01099043185933,Finance
PGRE,"Paramount Group, Inc.",13.09,12.4709,4.729564553093962,Consumer Services
PGTI,"PGT Innovations, Inc.",14.4,15.85,-10.06944444444444,Capital Goods
PH,Parker-Hannifin Corporation,163.47,147.6974,9.64862054199548,Capital Goods
PHG,Koninklijke Philips N.V.,45.49,34.311,24.574631787205984,Energy
PHI,PLDT Inc.,21.76,20.7118,4.8170955882353,Public Utilities
PHM,"PulteGroup, Inc.",31.11,25.8861,16.791706846673097,Capital Goods
PHX,Panhandle Royalty Company,10.93,15.4141,-41.0256175663312,Energy
PII,Polaris Industries Inc.,89.2,75.5982,15.248654708520176,Capital Goods
PIR,"Pier 1 Imports, Inc.",3.18,0.3058,90.38364779874215,Consumer Services
PIY,"Merrill Lynch Depositor, Inc.",13.7,9.899,27.74452554744526,Finance
PJC,Piper Jaffray Companies,73.21,65.1748,10.975549788280276,Finance
PJH,"Prudential Financial, Inc.",25.79,23.74,7.948817371074063,Finance
PJT,PJT Partners Inc.,39.4,38.6642,1.8675126903553239,Finance
PK,Park Hotels & Resorts Inc.,24.31,25.6063,-5.332373508844106,Consumer Services
PKE,Park Aerospace Corp.,18.15,14.6299,19.39449035812672,Technology
PKG,Packaging Corporation of America,99.6,82.8076,16.85983935742972,Consumer Durables
PKI,"PerkinElmer, Inc.",81.31,78.4271,3.5455663510023445,Capital Goods
PKX,POSCO,42.48,54.5265,-28.358050847457633,Basic Industries
PLD,"Prologis, Inc.",78.64,57.8982,26.375635808748726,Consumer Services
PLNT,"Planet Fitness, Inc.",74.74,53.62,28.257960931228254,Consumer Services
PLOW,"Douglas Dynamics, Inc.",38.29,35.6337,6.937320449203452,Capital Goods
PLT,"Plantronics, Inc.",34.56,32.8951,4.81741898148149,Public Utilities
